stock1, stock2, p_value
PLESTHN00018, PLRAFAK00018, 3.213838495060012e-29
PLAPATR00018, PLFAMUR00012, 3.258318675317237e-29
PLESTHN00018, PLMRCOR00016, 4.946120997706213e-29
PLESTHN00018, PLRNKPR00014, 5.114996379327001e-29
PLRESBD00032, PLTORPL00016, 6.738045981758018e-29
PLESTHN00018, PLLUBAW00013, 1.3602771886738574e-28
PLELPO000016, PLNVITA00018, 1.8353464569665334e-28
PLSOFTB00016, PLZRWZW00012, 2.387530388507857e-28
PLELPO000016, PLKETY000011, 2.599769175841257e-28
PLELPO000016, PLMSTWS00019, 4.1346929653282825e-28
PLELPO000016, PLSTLEX00019, 1.294234989640696e-27
PLELPO000016, PLREMAK00016, 1.3728558114134017e-27
PLATM0000021, PLCTINT00018, 1.4284012948661836e-27
PLELPO000016, PLFORTE00012, 1.617761643143374e-27
PLELPO000016, PLVSTLA00011, 2.0881396477533133e-27
PLELPO000016, PLSTLSK00016, 2.1896608677398366e-27
PLELPO000016, PLPRCHM00014, 2.7155008418266248e-27
HU0000089198, LT0000128621, 4.401751102402594e-27
PLPONAR00012, PLZSTAL00012, 4.534930290215801e-27
PLMSTSD00019, PLNTSYS00013, 4.715081818792429e-27
PLELPO000016, PLRAFAK00018, 6.763797157612063e-27
PLESTHN00018, PLKPPD000017, 8.039722464613534e-27
PLESTHN00018, PLTIM0000016, 1.127428651087207e-26
PLESTHN00018, PLNFI0600010, 1.1765818899254681e-26
PLESTHN00018, PLMCIMG00012, 1.2746011814263948e-26
PLSANWL00012, PLTRFRM00018, 1.309132402534325e-26
PLESTHN00018, PLLPP0000011, 1.6959309331968037e-26
PLELPO000016, PLRELPL00014, 2.3599109985800053e-26
PLESTHN00018, PLXPLUS00013, 3.564098150579507e-26
PLESTHN00018, PLMOBRK00013, 5.690087887391115e-26
LU0122624777, PLZSTAL00012, 8.984232062415741e-26
PLESTHN00018, PLKNOPL00014, 9.671612973252061e-26
PLESTHN00018, PLNFI0700018, 1.3582090235964946e-25
PLESTHN00018, PLINPRO00015, 1.7046464205263371e-25
PLESTHN00018, PLKLSTN00017, 4.018617501168567e-25
PLELPO000016, PLMSTZB00018, 4.392312086859411e-25
PLDUDA000016, PLEURCH00011, 4.634989428510883e-25
PLESTHN00018, PLMWTRD00013, 5.21574792133838e-25
PLESTHN00018, PLSNZKA00033, 6.4023991676307195e-25
PLESTHN00018, PLZSTAL00012, 8.073650489139884e-25
PLESTHN00018, PLRESBD00032, 8.442045866028715e-25
PLELPO000016, PLPEKPL00010, 1.102099043630365e-24
PLELPO000016, PLKOMPP00017, 1.1305784127633607e-24
PLESTHN00018, PLVNTIN00011, 1.3075434357112635e-24
PLESTHN00018, PLPTNTS00019, 2.391374143465172e-24
PLRAFAK00018, PLVSTLA00011, 2.445260263036978e-24
PLBSK0000017, PLMDCLG00015, 2.490729429555166e-24
