stock1, stock2, p_value, crossings
PLFAMUR00012, PLTIM0000016, 0.0040174689500733, 0.012781780153381363
PLFAMUR00012, PLPEKAO00016, 0.0036142400586773, 0.012316988147803859
PLCOMAR00012, PLKETY000011, 0.008820431887783, 0.01224889759921607
PLBIG0000016, PLBSK0000017, 0.0007230019516825, 0.011651537732014633
PLCOMAR00012, PLPKN0000018, 0.007333748515219, 0.010700551747199465
PLSOFTB00016, PLTIM0000016, 0.0012586580971017, 0.01070023603461841
PLFAMUR00012, PLTLKPL00017, 0.0080808989579295, 0.008831048105972577
PLFAMUR00012, PLMSTSD00019, 2.4758046913562223e-20, 0.008133860097606322
PLFAMUR00012, PLOPTTC00011, 0.0029830942689735, 0.008133860097606322
ES0105375002, PLTSQGM00016, 0.0018329232143826, 0.008088235294117648
PLFAMUR00012, PLKETY000011, 0.003007316905613, 0.007901464094817569
PLFAMUR00012, PLPKN0000018, 0.0029414988925252, 0.005345108064141297
PLMSTSD00019, PLSOFTB00016, 0.0044419581220178, 0.005192761605035405
PLSOFTB00016, PLTLKPL00017, 0.0010875762553325, 0.004489337822671156
PLFAMUR00012, PLINTCS00010, 0.0032813018116761, 0.0013943760167325122
PLFAMUR00012, PLTRFRM00018, 0.0030109682843169, 0.0009295840111550081
PLFAMUR00012, PLKGHM000017, 0.0029338946283715, 0.00023239600278875203
