stock1, stock2, p_value, crossings
PLGMNGF00017, PLMVGMS00011, 1.629550109695332e-09, 0.055350553505535055
PLMXCMS00016, PLSCPFL00018, 4.553789824000114e-07, 0.05508749189889825
PLFSING00010, PLPRGNK00017, 1.0909434592413507e-05, 0.055036344755970926
PLKRVTM00010, PLMLSTM00015, 7.909465827195443e-06, 0.055011303692539565
IT0005239360, PLBH00000012, 1.1366106326238909e-06, 0.054729327781082686
PLATTFI00018, PLMLSTM00015, 5.4985064590113966e-09, 0.05425772418990203
DE000A2E3772, PLKRKCH00019, 6.194035670052942e-06, 0.054003724394785846
PLHDRTR00013, PLWELTN00012, 2.679253874161664e-05, 0.05399898115129903
PLJWWNT00018, PLMNNCP00011, 8.029216904598026e-06, 0.05391304347826087
PLIZBLK00010, PLSCPFL00018, 1.0551420703828456e-07, 0.053143227478937134
PLAPSEN00011, PLARTFX00011, 6.037863365445161e-06, 0.05263157894736842
FR0000060873, PLPSSUS00018, 2.1122167333069932e-05, 0.05251141552511415
PLCMP0000017, PLKNOPL00014, 2.7677312018982584e-05, 0.05232558139534884
PLATTFI00018, PLCRPJR00019, 6.416757460829697e-07, 0.052307692307692305
PLPCCEX00010, PLSCPFL00018, 6.637329518781316e-07, 0.05119896305897602
NL0011882741, PLTSQGM00016, 1.4791669362109978e-05, 0.05073529411764706
PLHOGA000041, PLIZSTL00015, 8.997202656769743e-06, 0.05055292259083728
LU0611262873, PLFERUM00014, 1.3814130500726243e-05, 0.05044987146529563
PLGMNGF00017, PLKPPD000017, 1.0610644401355085e-08, 0.05043050430504305
PLPHN0000014, PLZPCOT00018, 1.8760142996665224e-06, 0.05026256564141035
PLFSING00010, PLKRKCH00019, 1.2282485690731657e-06, 0.0499001996007984
NL0011882741, PLADVPL00029, 2.108455106002285e-09, 0.049890350877192985
NL0011882741, PLBOS0000019, 2.5338671787656e-06, 0.049890350877192985
PLGMNGF00017, PLZAPUL00057, 1.3835083585225144e-05, 0.04920049200492005
NL0011882741, PLBRN2400013, 1.4086913536761283e-05, 0.04828551434569629
PLCMP0000017, PLGRODN00015, 4.557392870874408e-06, 0.04813008130081301
PLGMNGF00017, PLNEWAG00012, 1.1661870313749832e-10, 0.04797047970479705
PLRESBD00032, PLTAURN00011, 9.369009711326185e-06, 0.047805171377029464
PLFSING00010, PLLWBGD00016, 5.274914003699182e-07, 0.04771260174010665
NL0011882741, PLTRMRX00011, 1.4587614113119042e-14, 0.047697368421052634
PLLENTX00010, PLTSGS000019, 4.166302294734198e-06, 0.047402781720124895
NL0011882741, PLCMRAY00029, 1.2001541628765803e-05, 0.047149122807017545
PLBIOMX00015, PLCRPJR00019, 8.425260341961517e-06, 0.04692307692307692
PLHDRTR00013, PLKPPD000017, 7.724771885068989e-06, 0.046238440389902526
NL0011882741, PLPHN0000014, 1.063054055238888e-07, 0.04550438596491228
PLHOGA000041, PLZPCOT00018, 6.600158835794121e-06, 0.04538485127261576
PLCMP0000017, PLVSTLA00011, 2.114183903894302e-05, 0.04495100127822752
PLCMP0000017, PLSEKO000014, 2.1490438097668724e-06, 0.044761674328574884
PLCMP0000017, PLRELPL00014, 4.781127407610594e-06, 0.04452492543672774
PLCNTSL00014, PLUNMST00014, 7.173199644429613e-10, 0.04437661422869218
NL0011882741, USU827061099, 5.858927386190627e-06, 0.04437643458301454
PLKLNR000017, PLPMPOL00031, 1.6859097611089915e-05, 0.04417577307602883
PLMDCLG00015, PLULTGM00013, 8.193755888939473e-11, 0.04416167664670659
IT0005239360, PLKRK0000010, 5.266513956538497e-06, 0.044021415823914334
